,age,count
4000,19.333333333333332,3
8506,19.333333333333332,3
4952,19.333333333333332,3
6139,19.333333333333332,3
6158,19.333333333333332,3
9385,19.333333333333332,3
6250,19.333333333333332,3
3826,19.333333333333332,3
9437,19.333333333333332,3
7374,19.333333333333332,3
1900,19.4,5
8355,19.4,5
9388,19.4,5
94,19.4,5
8405,19.4,5
5184,19.5,4
2107,19.5,4
5179,19.5,4
9491,19.5,4
5175,19.5,4
6154,19.5,4
2862,19.5,4
3998,19.5,4
7431,19.5,4
5003,19.5,4
7432,19.5,4
6219,19.5,4
477,19.6,5
8396,19.6,5
5917,19.6,5
7354,19.6,5
5181,19.666666666666668,3
1369,19.666666666666668,3
2044,19.666666666666668,3
7065,19.666666666666668,3
8111,19.666666666666668,3
7396,19.666666666666668,3
7378,19.666666666666668,3
3988,19.666666666666668,3
9383,19.666666666666668,3
8354,19.666666666666668,3
1333,19.666666666666668,3
5978,19.666666666666668,3
7058,19.666666666666668,3
7329,19.666666666666668,3
6201,19.666666666666668,3
4014,19.666666666666668,3
8410,19.666666666666668,3
2856,19.666666666666668,3
8409,19.666666666666668,3
1179,19.666666666666668,3
3990,19.666666666666668,3
6251,19.666666666666668,3
7444,19.666666666666668,3
10281,19.666666666666668,3
363,19.666666666666668,3
5229,19.75,4
5188,19.75,4
2725,19.75,4
9482,19.75,4
7333,19.75,4
8362,19.75,4
7061,19.75,4
9387,19.75,4
7404,19.75,4
8376,19.75,4
6211,19.75,4
8395,19.75,4
7340,19.75,4
8415,19.75,4
9476,19.75,4
5910,19.75,4
4949,19.75,4
4091,19.8,5
446,19.8,5
108,19.8,5
8351,19.8,5
6194,19.8,5
8483,19.8,5
5002,19.8,5
747,19.8,5
4738,19.8,5
8356,19.8,5
2726,19.8,5
2947,20.0,4
7517,20.0,4
56,20.0,3
1394,20.0,4
5185,20.0,3
1357,20.0,3
6343,20.0,3
233,20.0,3
5233,20.0,3
7516,20.0,3
5223,20.0,5
6341,20.0,3
5226,20.0,5
8400,20.0,4
680,20.0,3
8401,20.0,4
1813,20.0,3
10268,20.0,4
2835,20.0,4
3607,20.0,3
7383,20.0,4
2061,20.0,3
8433,20.0,3
9374,20.0,3
3816,20.0,3
9416,20.0,3
748,20.0,4
8491,20.0,3
8435,20.0,4
1290,20.0,3
8360,20.0,4
7078,20.0,3
4956,20.0,3
10180,20.0,3
7336,20.0,5
5043,20.0,5
5135,20.0,5
9454,20.0,4
5051,20.0,4
8183,20.0,3
5999,20.0,3
7334,20.0,4
3830,20.0,3
9446,20.0,3
8394,20.0,4
4805,20.0,3
9474,20.0,3
7384,20.0,5
8412,20.0,4
5040,20.0,5
6229,20.0,3
7368,20.0,3
4804,20.0,3
7375,20.0,5
8420,20.0,3
3691,20.0,4
8110,20.0,3
10264,20.0,3
7342,20.0,3
2077,20.0,3
2055,20.0,3
1184,20.0,4
4976,20.0,3
9414,20.0,3
4728,20.0,4
5222,20.2,5
8350,20.2,5
7376,20.2,5
752,20.2,5
9479,20.2,5
6167,20.2,5
8361,20.2,5
3774,20.2,5
9377,20.2,5
2041,20.2,5
2163,20.25,4
5178,20.25,4
10259,20.25,4
10260,20.25,4
1129,20.25,4
6210,20.25,4
6222,20.25,4
4963,20.25,4
3771,20.25,4
5009,20.25,4
2685,20.25,4
5015,20.25,4
5228,20.333333333333332,3
5230,20.333333333333332,3
9378,20.333333333333332,3
8421,20.333333333333332,3
9028,20.333333333333332,3
9456,20.333333333333332,3
6140,20.333333333333332,3
5975,20.333333333333332,3
9307,20.333333333333332,3
3785,20.333333333333332,3
1945,20.333333333333332,3
8387,20.333333333333332,3
10181,20.333333333333332,3
4978,20.333333333333332,3
1296,20.333333333333332,3
10275,20.333333333333332,3
2720,20.333333333333332,3
7370,20.333333333333332,3
3664,20.333333333333332,3
2745,20.333333333333332,3
1360,20.333333333333332,3
4090,20.4,5
7043,20.4,5
6199,20.4,5
6236,20.4,5
3828,20.4,5
2854,20.4,5
1164,20.4,5
4964,20.4,5
5183,20.5,4
9477,20.5,4
1893,20.5,4
9478,20.5,4
7044,20.5,4
1341,20.5,4
9380,20.5,4
8496,20.5,4
8085,20.5,4
7390,20.5,4
7385,20.5,4
8390,20.5,4
4951,20.5,4
7193,20.5,4
7339,20.5,4
9249,20.5,4
6193,20.5,4
6155,20.5,4
8374,20.5,4
2684,20.5,4
5186,20.6,5
7410,20.6,5
720,20.6,5
3884,20.6,5
6161,20.6,5
2039,20.6,5
7356,20.6,5
2957,20.666666666666668,3
8529,20.666666666666668,3
228,20.666666666666668,3
5024,20.666666666666668,3
4967,20.666666666666668,3
2759,20.666666666666668,3
4973,20.666666666666668,3
8434,20.666666666666668,3
6227,20.666666666666668,3
6130,20.666666666666668,3
2716,20.666666666666668,3
670,20.666666666666668,3
1896,20.666666666666668,3
8352,20.666666666666668,3
4981,20.666666666666668,3
11506,20.666666666666668,3
10273,20.666666666666668,3
5029,20.666666666666668,3
3989,20.666666666666668,3
7441,20.666666666666668,3
2610,20.666666666666668,3
8060,20.666666666666668,3
7369,20.666666666666668,3
4004,20.666666666666668,3
5064,20.666666666666668,3
7123,20.666666666666668,3
9415,20.666666666666668,3
5180,20.75,4
4096,20.75,4
6339,20.75,4
8549,20.75,4
3772,20.75,4
6238,20.75,4
7397,20.75,4
9452,20.75,4
3996,20.75,4
5909,20.75,4
2869,20.75,4
9458,20.75,4
3781,20.75,4
8359,20.8,5
7440,20.8,5
2714,20.8,5
1197,20.8,5
2976,21.0,5
6365,21.0,3
8548,21.0,3
8525,21.0,4
5232,21.0,3
8527,21.0,3
8518,21.0,3
7490,21.0,4
7417,21.0,3
9459,21.0,5
9462,21.0,4
5136,21.0,3
6136,21.0,3
8061,21.0,3
7411,21.0,3
2727,21.0,3
2051,21.0,3
5922,21.0,3
9251,21.0,4
3878,21.0,3
755,21.0,5
9253,21.0,3
4979,21.0,3
7422,21.0,3
8364,21.0,3
8371,21.0,3
3787,21.0,4
6237,21.0,5
1340,21.0,3
6228,21.0,3
5048,21.0,3
4010,21.0,3
217,21.0,3
6208,21.0,3
1201,21.0,4
6221,21.0,4
10029,21.0,3
8319,21.0,3
9398,21.0,3
8353,21.0,3
3788,21.0,4
1113,21.0,3
5011,21.0,3
2873,21.0,5
8344,21.0,3
9346,21.0,3
7423,21.0,4
9347,21.0,4
7208,21.0,3
7296,21.0,3
4950,21.0,3
7335,21.0,5
8478,21.0,3
1287,21.0,3
6202,21.0,4
8414,21.0,4
8367,21.0,5
10266,21.0,4
9389,21.0,5
8105,21.0,3
8432,21.0,3
1944,21.0,3
8275,21.0,4
11003,21.0,3
6129,21.0,3
8482,21.0,4
1814,21.0,4
2617,21.0,4
7046,21.0,3
672,21.0,3
7332,21.0,4
6218,21.0,3
6214,21.0,4
6226,21.0,3
8186,21.2,5
9483,21.2,5
4958,21.2,5
738,21.2,5
1185,21.2,5
6003,21.2,5
476,21.25,4
4092,21.25,4
7518,21.25,4
5187,21.25,4
5182,21.25,4
4794,21.25,4
9393,21.25,4
2704,21.25,4
6234,21.25,4
9443,21.25,4
7398,21.25,4
2881,21.25,4
1899,21.25,4
8417,21.25,4
685,21.25,4
8546,21.333333333333332,3
58,21.333333333333332,2
59,21.333333333333332,1
230,21.333333333333332,3
4087,21.333333333333332,3
6178,21.333333333333332,3
8378,21.333333333333332,3
433,21.333333333333332,3
7377,21.333333333333332,3
6148,21.333333333333332,3
3994,21.333333333333332,3
214,21.333333333333332,3
371,21.333333333333332,3
10277,21.333333333333332,3
6141,21.333333333333332,3
8507,21.333333333333332,3
7079,21.333333333333332,3
6240,21.333333333333332,3
3849,21.333333333333332,3
9451,21.333333333333332,3
1901,21.333333333333332,3
9449,21.333333333333332,3
8062,21.333333333333332,3
8495,21.333333333333332,3
5907,21.333333333333332,3
3837,21.333333333333332,3
5944,21.333333333333332,3
7445,21.333333333333332,3
3782,21.333333333333332,3
7117,21.333333333333332,3
2159,21.4,5
4044,21.4,5
2968,21.4,5
435,21.4,5
7355,21.4,5
7386,21.4,5
5050,21.4,5
1921,21.4,5
7353,21.4,5
8398,21.4,5
3768,21.4,5
444,21.5,4
8063,21.5,4
3761,21.5,4
1894,21.5,4
9441,21.5,3
9442,21.5,1
7050,21.5,4
9274,21.5,4
2615,21.5,4
7418,21.5,4
4985,21.5,4
7059,21.5,4
2717,21.5,4
6209,21.5,4
7402,21.5,4
681,21.5,4
5947,21.5,4
7255,21.5,4
1200,21.5,4
2692,21.5,4
1932,21.5,4
6217,21.5,4
8550,21.6,5
10284,21.6,5
39,21.6,5
9461,21.6,5
2154,21.666666666666668,3
5231,21.666666666666668,3
1187,21.666666666666668,3
1361,21.666666666666668,3
1875,21.666666666666668,3
3672,21.666666666666668,3
7322,21.666666666666668,3
5017,21.666666666666668,3
7349,21.666666666666668,3
7327,21.666666666666668,3
8448,21.666666666666668,3
8106,21.666666666666668,3
8457,21.666666666666668,3
8458,21.666666666666668,3
2695,21.666666666666668,3
42,21.666666666666668,3
9381,21.666666666666668,3
8471,21.666666666666668,3
4966,21.666666666666668,3
9172,21.666666666666668,3
6143,21.666666666666668,3
6168,21.666666666666668,3
8185,21.666666666666668,3
2678,21.666666666666668,3
5013,21.666666666666668,3
3810,21.666666666666668,3
7366,21.666666666666668,3
7367,21.666666666666668,3
3827,21.666666666666668,3
4802,21.666666666666668,3
9453,21.666666666666668,3
4849,21.666666666666668,3
4972,21.666666666666668,3
10860,21.666666666666668,3
10269,21.666666666666668,3
9026,21.666666666666668,3
5921,21.666666666666668,3
4977,21.666666666666668,3
1193,21.666666666666668,3
3600,21.666666666666668,3
4810,21.666666666666668,3
2156,21.75,4
8397,21.75,4
6249,21.75,4
6197,21.75,4
7439,21.75,4
5061,21.75,4
8313,21.75,4
1165,21.75,4
7129,21.75,4
7244,21.8,5
367,21.8,5
8477,21.8,5
11013,22.0,3
5189,22.0,3
2950,22.0,5
1379,22.0,3
11011,22.0,3
7511,22.0,5
4093,22.0,3
2108,22.0,5
2955,22.0,5
2157,22.0,3
220,22.0,3
8349,22.0,5
10263,22.0,3
8450,22.0,3
9962,22.0,3
10894,22.0,3
7388,22.0,3
6149,22.0,4
753,22.0,3
1904,22.0,3
366,22.0,4
9382,22.0,3
8475,22.0,5
9334,22.0,3
1289,22.0,4
10278,22.0,3
8331,22.0,4
5041,22.0,5
6160,22.0,4
9386,22.0,4
5984,22.0,5
5010,22.0,3
8217,22.0,3
3789,22.0,5
6242,22.0,3
1183,22.0,3
5037,22.0,5
10274,22.0,3
2733,22.0,4
6001,22.0,5
8218,22.0,3
8413,22.0,3
9434,22.0,3
2679,22.0,3
9329,22.0,3
8449,22.0,3
10282,22.0,5
10102,22.0,4
10103,22.0,1
9075,22.0,3
9433,22.0,3
1929,22.0,4
1925,22.0,5
2628,22.0,3
7519,22.2,5
1919,22.2,5
10091,22.2,5
7424,22.2,5
3777,22.2,5
7130,22.2,5
774,22.25,4
123,22.25,4
6258,22.25,4
429,22.25,4
9396,22.25,4
3588,22.25,4
5020,22.25,4
659,22.25,4
9018,22.25,4
9392,22.25,4
1917,22.25,4
4883,22.25,4
448,22.333333333333332,3
2921,22.333333333333332,3
4030,22.333333333333332,3
7419,22.333333333333332,3
1285,22.333333333333332,3
3843,22.333333333333332,3
9417,22.333333333333332,3
668,22.333333333333332,3
2601,22.333333333333332,3
97,22.333333333333332,3
6296,22.333333333333332,3
9467,22.333333333333332,3
11004,22.333333333333332,3
2757,22.333333333333332,3
11546,22.333333333333332,3
3823,22.333333333333332,3
7348,22.333333333333332,3
8391,22.333333333333332,3
9450,22.333333333333332,3
4017,22.333333333333332,3
10955,22.333333333333332,3
3953,22.333333333333332,3
6189,22.333333333333332,3
8128,22.333333333333332,3
5920,22.333333333333332,3
2604,22.333333333333332,3
11544,22.333333333333332,3
7063,22.333333333333332,3
10249,22.333333333333332,3
9407,22.333333333333332,3
3637,22.333333333333332,3
1895,22.333333333333332,3
716,22.333333333333332,3
10267,22.4,5
2754,22.4,5
4987,22.4,5
8476,22.4,5
1186,22.4,5
2844,22.4,5
9390,22.4,5
3668,22.4,5
8380,22.4,4
8381,22.4,1
7132,22.5,4
661,22.5,4
4974,22.5,4
10262,22.5,4
9463,22.5,4
8472,22.5,4
7338,22.5,4
1326,22.5,4
1914,22.5,4
1168,22.5,4
1101,22.5,3
1102,22.5,1
1189,22.5,4
234,22.6,5
5176,22.6,5
2054,22.6,5
11547,22.6,5
2735,22.6,5
6151,22.6,5
10280,22.6,5
207,22.6,5
6224,22.6,5
6163,22.6,5
6022,22.6,5
5177,22.666666666666668,3
53,22.666666666666668,3
105,22.666666666666668,3
57,22.666666666666668,3
11492,22.666666666666668,3
7089,22.666666666666668,3
5925,22.666666666666668,3
5006,22.666666666666668,3
7413,22.666666666666668,3
8451,22.666666666666668,3
3851,22.666666666666668,3
4989,22.666666666666668,3
5065,22.666666666666668,3
7066,22.666666666666668,3
8385,22.666666666666668,3
2006,22.666666666666668,3
7420,22.666666666666668,3
5936,22.666666666666668,3
4948,22.666666666666668,3
6252,22.666666666666668,3
7270,22.666666666666668,3
10182,22.666666666666668,3
8184,22.666666666666668,3
210,22.666666666666668,3
3806,22.666666666666668,3
7425,22.666666666666668,3
6216,22.666666666666668,3
5030,22.666666666666668,3
8418,22.666666666666668,3
3906,22.666666666666668,3
5034,22.666666666666668,3
3829,22.666666666666668,3
7218,22.666666666666668,3
7406,22.666666666666668,3
8416,22.666666666666668,3
2724,22.666666666666668,3
2105,22.666666666666668,3
10261,22.666666666666668,3
1800,22.666666666666668,3
5057,22.666666666666668,3
4997,22.666666666666668,3
773,22.75,4
1943,22.75,4
6294,22.75,4
5923,22.75,4
11511,22.75,4
10279,22.75,4
6260,22.75,4
651,22.75,4
6052,22.75,4
2718,22.75,4
7118,22.75,4
6261,22.75,4
665,22.75,4
475,22.8,5
5239,22.8,5
7142,22.8,5
3852,22.8,5
9273,22.8,5
9068,22.8,5
7143,22.8,5
667,22.8,5
5019,22.8,5
2840,22.8,5
780,23.0,3
4036,23.0,3
1374,23.0,3
5221,23.0,3
1378,23.0,3
4038,23.0,3
9406,23.0,3
3840,23.0,3
6150,23.0,4
398,23.0,3
9099,23.0,3
2763,23.0,3
2773,23.0,3
8129,23.0,3
8130,23.0,1
8403,23.0,3
4968,23.0,3
4969,23.0,1
3655,23.0,5
656,23.0,5
8402,23.0,4
10250,23.0,4
3834,23.0,3
1155,23.0,3
3589,23.0,3
2734,23.0,3
9048,23.0,3
7351,23.0,5
7055,23.0,3
9424,23.0,3
743,23.0,3
9384,23.0,5
5976,23.0,4
5977,23.0,1
8196,23.0,3
6223,23.0,4
2086,23.0,3
8386,23.0,3
724,23.0,4
7345,23.0,3
9318,23.0,4
4821,23.0,3
9448,23.0,3
8097,23.0,3
8093,23.0,3
2046,23.0,3
7330,23.0,3
8099,23.0,4
740,23.0,3
9370,23.0,2
9371,23.0,1
356,23.0,3
4716,23.0,4
9961,23.0,3
7243,23.0,4
3831,23.0,4
1171,23.0,3
1920,23.0,4
4803,23.0,3
3741,23.0,3
2683,23.0,3
6152,23.0,3
5016,23.0,5
684,23.0,4
4089,23.2,5
8379,23.2,5
4960,23.2,5
9308,23.2,5
1174,23.2,5
3775,23.2,5
9455,23.2,5
4758,23.2,5
2633,23.2,5
2841,23.2,5
3848,23.2,5
8233,23.2,5
11014,23.25,4
222,23.25,4
9019,23.25,4
3794,23.25,4
3616,23.25,4
7442,23.25,4
8411,23.25,4
11545,23.25,4
122,23.333333333333332,3
4032,23.333333333333332,3
5190,23.333333333333332,3
2910,23.333333333333332,3
8304,23.333333333333332,3
6009,23.333333333333332,2
6010,23.333333333333332,1
5903,23.333333333333332,3
7064,23.333333333333332,3
3779,23.333333333333332,3
2765,23.333333333333332,3
2845,23.333333333333332,3
3796,23.333333333333332,3
9965,23.333333333333332,3
92,23.333333333333332,3
2719,23.333333333333332,3
8437,23.333333333333332,3
1902,23.333333333333332,3
3651,23.333333333333332,3
2808,23.333333333333332,3
3824,23.333333333333332,3
5044,23.333333333333332,3
2030,23.333333333333332,3
9475,23.333333333333332,3
7341,23.333333333333332,3
2691,23.333333333333332,3
1182,23.333333333333332,3
3656,23.333333333333332,3
6145,23.333333333333332,3
9466,23.333333333333332,3
9098,23.333333333333332,3
10137,23.333333333333332,3
8368,23.333333333333332,3
11000,23.333333333333332,3
676,23.333333333333332,3
8064,23.333333333333332,3
2043,23.333333333333332,3
8502,23.333333333333332,3
2052,23.333333333333332,3
1923,23.333333333333332,3
9356,23.333333333333332,2
9357,23.333333333333332,1
5008,23.333333333333332,3
8092,23.333333333333332,3
7412,23.4,5
7054,23.4,5
2682,23.4,5
9272,23.4,5
8443,23.4,5
3839,23.4,5
2959,23.5,3
2960,23.5,1
6337,23.5,4
8528,23.5,4
1098,23.5,4
6012,23.5,4
9444,23.5,4
6233,23.5,4
1898,23.5,4
10138,23.5,4
3821,23.5,4
1332,23.5,4
4983,23.5,3
4984,23.5,1
1175,23.5,4
7080,23.5,4
7056,23.5,4
9049,23.5,4
5979,23.5,4
2681,23.5,4
3599,23.5,4
3867,23.5,4
7197,23.5,4
3606,23.5,4
5001,23.5,4
1324,23.5,4
8086,23.5,4
7196,23.5,4
657,23.5,4
3786,23.5,4
6340,23.6,5
223,23.6,5
1819,23.6,5
4995,23.6,5
4736,23.6,4
4737,23.6,1
1922,23.6,5
1839,23.6,5
7146,23.6,4
7147,23.6,1
4988,23.6,5
5191,23.666666666666668,3
1368,23.666666666666668,3
2109,23.666666666666668,3
4094,23.666666666666668,3
441,23.666666666666668,3
7387,23.666666666666668,3
3689,23.666666666666668,3
2761,23.666666666666668,3
6225,23.666666666666668,3
9029,23.666666666666668,3
8369,23.666666666666668,3
6212,23.666666666666668,3
6183,23.666666666666668,3
7053,23.666666666666668,3
7473,23.666666666666668,3
7114,23.666666666666668,3
9335,23.666666666666668,3
4991,23.666666666666668,3
3846,23.666666666666668,3
2728,23.666666666666668,3
10271,23.666666666666668,3
4965,23.666666666666668,3
7331,23.666666666666668,3
7115,23.666666666666668,3
7116,23.666666666666668,3
8222,23.666666666666668,3
2035,23.666666666666668,3
8431,23.666666666666668,3
1331,23.666666666666668,3
9254,23.666666666666668,3
100,23.666666666666668,2
101,23.666666666666668,1
7048,23.666666666666668,3
3601,23.666666666666668,3
1362,23.666666666666668,3
10,23.75,3
11,23.75,1
811,23.75,4
5022,23.75,4
7365,23.75,4
9397,23.75,4
8373,23.75,4
9215,23.75,4
3579,23.75,4
2122,23.75,4
2680,23.75,4
7262,23.75,4
9979,23.75,2
9980,23.75,2
2951,23.8,5
483,23.8,5
117,23.8,5
5075,23.8,4
5076,23.8,1
4975,23.8,5
9032,23.8,5
4884,23.8,5
8444,23.8,5
9116,23.8,5
9391,23.8,5
1892,23.8,5
3790,23.8,4
3791,23.8,1
662,23.8,5
445,24.0,3
116,24.0,4
2954,24.0,4
106,24.0,3
255,24.0,3
8,24.0,4
9,24.0,1
1392,24.0,3
1397,24.0,4
2155,24.0,5
1891,24.0,4
2688,24.0,3
9021,24.0,4
8422,24.0,4
10908,24.0,2
10909,24.0,1
10265,24.0,3
3757,24.0,3
4830,24.0,3
7437,24.0,4
9234,24.0,3
185,24.0,5
11005,24.0,3
6263,24.0,4
10117,24.0,3
7328,24.0,4
9457,24.0,4
3780,24.0,3
10118,24.0,3
1322,24.0,5
11529,24.0,4
4742,24.0,3
1897,24.0,5
10036,24.0,4
9983,24.0,4
11872,24.0,2
11873,24.0,1
671,24.0,4
3798,24.0,4
11530,24.0,3
11531,24.0,1
2901,24.0,2
2902,24.0,2
5059,24.0,4
8202,24.0,3
411,24.0,5
8407,24.0,3
1311,24.0,3
3832,24.0,3
5997,24.0,3
3880,24.0,3
3793,24.0,3
5153,24.0,3
9400,24.0,3
2743,24.0,4
10193,24.0,5
8503,24.0,3
4762,24.0,4
8430,24.0,3
9326,24.0,3
6243,24.0,4
9331,24.0,4
10095,24.0,2
10096,24.0,1
9250,24.0,5
7125,24.0,3
3640,24.0,3
2706,24.0,3
6144,24.0,3
374,24.0,4
3680,24.0,3
2770,24.0,3
2861,24.0,4
5138,24.0,4
6259,24.0,3
3865,24.0,3
3866,24.0,1
5946,24.0,4
3733,24.0,3
9240,24.0,3
9241,24.0,1
9431,24.0,4
3802,24.0,3
9058,24.0,3
4782,24.0,3
439,24.2,5
2952,24.2,5
45,24.2,4
46,24.2,1
8109,24.2,5
2755,24.2,5
3776,24.2,5
3847,24.2,5
4097,24.25,4
3807,24.25,4
9111,24.25,4
7391,24.25,4
6185,24.25,4
6239,24.25,4
8425,24.25,4
8205,24.25,4
7134,24.25,4
5012,24.25,4
6182,24.25,4
8429,24.25,4
6000,24.25,4
5055,24.25,4
10863,24.25,4
8484,24.25,4
1246,24.25,3
1247,24.25,1
5998,24.25,4
3716,24.25,4
6368,24.333333333333332,3
238,24.333333333333332,3
8135,24.333333333333332,3
9418,24.333333333333332,3
8107,24.333333333333332,3
10092,24.333333333333332,1
10093,24.333333333333332,2
8149,24.333333333333332,2
8150,24.333333333333332,1
9375,24.333333333333332,3
368,24.333333333333332,3
9117,24.333333333333332,3
1886,24.333333333333332,2
1887,24.333333333333332,1
8464,24.333333333333332,3
1173,24.333333333333332,3
3615,24.333333333333332,3
8408,24.333333333333332,3
403,24.333333333333332,3
8498,24.333333333333332,3
10229,24.333333333333332,3
10844,24.333333333333332,3
4799,24.333333333333332,3
9991,24.333333333333332,3
3804,24.333333333333332,2
3805,24.333333333333332,1
754,24.333333333333332,3
2723,24.333333333333332,3
8345,24.333333333333332,3
762,24.333333333333332,3
3836,24.333333333333332,3
9201,24.333333333333332,3
8508,24.333333333333332,3
7283,24.333333333333332,3
1295,24.333333333333332,3
3603,24.333333333333332,3
3881,24.333333333333332,3
9255,24.333333333333332,3
10862,24.333333333333332,3
8459,24.333333333333332,3
9266,24.333333333333332,2
9267,24.333333333333332,1
1244,24.333333333333332,3
6323,24.333333333333332,3
8463,24.333333333333332,3
1121,24.333333333333332,2
1122,24.333333333333332,1
1188,24.333333333333332,3
4024,24.333333333333332,3
4747,24.333333333333332,3
2625,24.333333333333332,3
6349,24.4,4
6350,24.4,1
5985,24.4,4
5986,24.4,1
675,24.4,5
1822,24.4,5
8310,24.4,5
3667,24.4,5
452,24.5,4
6342,24.5,4
3862,24.5,4
8486,24.5,4
